,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__criterion,param_classifier__max_depth,param_classifier__min_samples_split,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score
0,5.991929888725281,0.016038060188293457,1.1462675333023071,0.023075461387634277,gini,25,2,"{'classifier__criterion': 'gini', 'classifier__max_depth': 25, 'classifier__min_samples_split': 2}",0.865039341105576,0.8673201573786168,0.8661797492420964,0.0011404081365203877,14
1,5.982184052467346,0.04798591136932373,1.187493085861206,0.028037071228027344,gini,25,4,"{'classifier__criterion': 'gini', 'classifier__max_depth': 25, 'classifier__min_samples_split': 4}",0.8633505871636284,0.8655702174677408,0.8644604023156846,0.0011098151520561594,34
2,6.02423894405365,0.15286695957183838,1.131427526473999,0.00553441047668457,gini,25,6,"{'classifier__criterion': 'gini', 'classifier__max_depth': 25, 'classifier__min_samples_split': 6}",0.8632716753985195,0.8650685906855327,0.8641701330420261,0.0008984576435066005,35
3,5.975510001182556,0.10023391246795654,1.1021000146865845,0.01709902286529541,gini,25,8,"{'classifier__criterion': 'gini', 'classifier__max_depth': 25, 'classifier__min_samples_split': 8}",0.8615570280835878,0.8652571685009276,0.8634070982922577,0.0018500702086698961,38
4,5.953573942184448,0.017373085021972656,1.165791392326355,0.0008736848831176758,gini,30,2,"{'classifier__criterion': 'gini', 'classifier__max_depth': 30, 'classifier__min_samples_split': 2}",0.8655940980382598,0.867379972291487,0.8664870351648735,0.000892937126613591,10
5,5.9632861614227295,0.019655227661132812,1.1448899507522583,0.01618492603302002,gini,30,4,"{'classifier__criterion': 'gini', 'classifier__max_depth': 30, 'classifier__min_samples_split': 4}",0.8657823739908923,0.8669610662755042,0.8663717201331982,0.0005893461423059354,11
6,5.767983913421631,0.06084299087524414,1.0947365760803223,0.013971567153930664,gini,30,6,"{'classifier__criterion': 'gini', 'classifier__max_depth': 30, 'classifier__min_samples_split': 6}",0.8637165116562209,0.8658355122064038,0.8647760119313124,0.0010595002750914406,33
7,6.018051505088806,0.08545458316802979,1.1097288131713867,0.019181013107299805,gini,30,8,"{'classifier__criterion': 'gini', 'classifier__max_depth': 30, 'classifier__min_samples_split': 8}",0.8614231991865355,0.8635711624318362,0.8624971808091859,0.0010739816226503218,40
8,6.147719860076904,0.0715031623840332,1.1920595169067383,0.005985736846923828,gini,50,2,"{'classifier__criterion': 'gini', 'classifier__max_depth': 50, 'classifier__min_samples_split': 2}",0.8651829621080385,0.8679435235694584,0.8665632428387484,0.0013802807307099485,9
9,6.0004355907440186,0.04081559181213379,1.1405529975891113,0.012558937072753906,gini,50,4,"{'classifier__criterion': 'gini', 'classifier__max_depth': 50, 'classifier__min_samples_split': 4}",0.8644257508900735,0.8690672134631787,0.8667464821766261,0.0023207312865526353,6
10,6.25884485244751,0.2792229652404785,1.1502950191497803,0.019716978073120117,gini,50,6,"{'classifier__criterion': 'gini', 'classifier__max_depth': 50, 'classifier__min_samples_split': 6}",0.8639333124877508,0.8656339231842316,0.8647836178359912,0.0008503053482403766,32
11,6.339275002479553,0.04888594150543213,1.2380400896072388,0.022687077522277832,gini,50,8,"{'classifier__criterion': 'gini', 'classifier__max_depth': 50, 'classifier__min_samples_split': 8}",0.8620453245140373,0.8640432435320649,0.863044284023051,0.000998959509013797,39
12,6.36818253993988,0.21498143672943115,1.2172436714172363,0.03848767280578613,gini,75,2,"{'classifier__criterion': 'gini', 'classifier__max_depth': 75, 'classifier__min_samples_split': 2}",0.8660792790606577,0.8666165509960821,0.8663479150283699,0.0002686359677122052,12
13,5.95750617980957,0.00032591819763183594,1.1424050331115723,0.02014303207397461,gini,75,4,"{'classifier__criterion': 'gini', 'classifier__max_depth': 75, 'classifier__min_samples_split': 4}",0.8652238287957554,0.8668171791268655,0.8660205039613105,0.0007966751655550386,17
14,5.856956362724304,0.008881449699401855,1.0900030136108398,0.003756999969482422,gini,75,6,"{'classifier__criterion': 'gini', 'classifier__max_depth': 75, 'classifier__min_samples_split': 6}",0.8644023334830296,0.865828522124803,0.8651154278039164,0.0007130943208866758,27
15,5.848654508590698,0.04445457458496094,1.09735107421875,0.016451120376586914,gini,75,8,"{'classifier__criterion': 'gini', 'classifier__max_depth': 75, 'classifier__min_samples_split': 8}",0.8625145563523904,0.8649993097251214,0.8637569330387559,0.0012423766863655095,37
16,5.86912202835083,0.06559205055236816,1.2535074949264526,0.14916551113128662,gini,100,2,"{'classifier__criterion': 'gini', 'classifier__max_depth': 100, 'classifier__min_samples_split': 2}",0.8659098384226795,0.8673894141439211,0.8666496262833003,0.0007397878606207886,8
17,6.013237118721008,0.0344008207321167,1.1352689266204834,0.0077478885650634766,gini,100,4,"{'classifier__criterion': 'gini', 'classifier__max_depth': 100, 'classifier__min_samples_split': 4}",0.862881984398055,0.8680852884615766,0.8654836364298157,0.002601652031760826,20
18,5.9377371072769165,0.022902846336364746,1.1071264743804932,0.014253616333007812,gini,100,6,"{'classifier__criterion': 'gini', 'classifier__max_depth': 100, 'classifier__min_samples_split': 6}",0.8634606725957674,0.8665947650305327,0.8650277188131501,0.0015670462173826283,28
19,5.8708655834198,0.048055410385131836,1.1109012365341187,0.013310551643371582,gini,100,8,"{'classifier__criterion': 'gini', 'classifier__max_depth': 100, 'classifier__min_samples_split': 8}",0.8627445078005993,0.8655151482522685,0.8641298280264339,0.0013853202258345965,36
20,7.321010947227478,0.24972808361053467,1.1982311010360718,0.09404289722442627,entropy,25,2,"{'classifier__criterion': 'entropy', 'classifier__max_depth': 25, 'classifier__min_samples_split': 2}",0.8670372566671598,0.8675152033525921,0.867276230009876,0.00023897334271616444,3
21,7.176596999168396,0.11741697788238525,1.134407639503479,0.003163456916809082,entropy,25,4,"{'classifier__criterion': 'entropy', 'classifier__max_depth': 25, 'classifier__min_samples_split': 4}",0.8651981612437689,0.8670547278386439,0.8661264445412065,0.0009282832974374933,15
22,6.993721961975098,0.02443099021911621,1.0906764268875122,0.007830500602722168,entropy,25,6,"{'classifier__criterion': 'entropy', 'classifier__max_depth': 25, 'classifier__min_samples_split': 6}",0.8640946258741036,0.8662281100761412,0.8651613679751224,0.0010667421010188138,26
23,7.0073020458221436,0.03516507148742676,1.0849789381027222,0.006377100944519043,entropy,25,8,"{'classifier__criterion': 'entropy', 'classifier__max_depth': 25, 'classifier__min_samples_split': 8}",0.8644304055677836,0.865969942524685,0.8652001740462343,0.000769768478450672,25
24,7.04872465133667,0.17839646339416504,1.1198533773422241,0.013811469078063965,entropy,30,2,"{'classifier__criterion': 'entropy', 'classifier__max_depth': 30, 'classifier__min_samples_split': 2}",0.8650849442735072,0.8667698385198288,0.8659273913966681,0.0008424471231607833,18
25,7.017871022224426,0.046710848808288574,1.1120120286941528,0.0024868249893188477,entropy,30,4,"{'classifier__criterion': 'entropy', 'classifier__max_depth': 30, 'classifier__min_samples_split': 4}",0.8656440067830729,0.8679279108126143,0.8667859587978436,0.0011419520147707418,5
26,6.842639684677124,0.03480648994445801,1.0843385457992554,0.005693554878234863,entropy,30,6,"{'classifier__criterion': 'entropy', 'classifier__max_depth': 30, 'classifier__min_samples_split': 6}",0.8640252135688261,0.8666622382708136,0.8653437259198198,0.001318512350993728,21
27,6.949726581573486,0.006535530090332031,1.0853644609451294,0.003606438636779785,entropy,30,8,"{'classifier__criterion': 'entropy', 'classifier__max_depth': 30, 'classifier__min_samples_split': 8}",0.8637906731153402,0.8660691770274492,0.8649299250713947,0.0011392519560545211,31
28,6.964182615280151,0.06078648567199707,1.1197618246078491,0.010318160057067871,entropy,50,2,"{'classifier__criterion': 'entropy', 'classifier__max_depth': 50, 'classifier__min_samples_split': 2}",0.8660867288492895,0.8688866857054967,0.8674867072773931,0.0013999784281035765,1
29,7.001644134521484,0.035552024841308594,1.1321794986724854,0.005762577056884766,entropy,50,4,"{'classifier__criterion': 'entropy', 'classifier__max_depth': 50, 'classifier__min_samples_split': 4}",0.8644719554792336,0.8679634845326579,0.8662177200059458,0.0017457645267121569,13
30,6.930068016052246,0.014052152633666992,1.1072853803634644,0.0094224214553833,entropy,50,6,"{'classifier__criterion': 'entropy', 'classifier__max_depth': 50, 'classifier__min_samples_split': 6}",0.8631991834017769,0.8673958131736246,0.8652974982877008,0.0020983148859238243,22
31,6.974210023880005,0.011095046997070312,1.089845895767212,0.012258052825927734,entropy,50,8,"{'classifier__criterion': 'entropy', 'classifier__max_depth': 50, 'classifier__min_samples_split': 8}",0.8642540670200406,0.8661483457215506,0.8652012063707957,0.0009471393507550219,24
32,7.011019945144653,0.08883094787597656,1.1407073736190796,0.0016325712203979492,entropy,75,2,"{'classifier__criterion': 'entropy', 'classifier__max_depth': 75, 'classifier__min_samples_split': 2}",0.8666683676978972,0.8680184200989683,0.8673433938984327,0.0006750262005355556,2
33,7.010401368141174,0.03983962535858154,1.1296606063842773,0.0018184185028076172,entropy,75,4,"{'classifier__criterion': 'entropy', 'classifier__max_depth': 75, 'classifier__min_samples_split': 4}",0.8656290714892225,0.8676839204416588,0.8666564959654406,0.0010274244762181195,7
34,6.950703978538513,0.04073202610015869,1.0929943323135376,0.0020345449447631836,entropy,75,6,"{'classifier__criterion': 'entropy', 'classifier__max_depth': 75, 'classifier__min_samples_split': 6}",0.8639210213734413,0.8673889855448845,0.8656550034591629,0.0017339820857216193,19
35,6.819817423820496,0.01660740375518799,1.0593675374984741,0.0025104284286499023,entropy,75,8,"{'classifier__criterion': 'entropy', 'classifier__max_depth': 75, 'classifier__min_samples_split': 8}",0.8630085420894071,0.8675357588241329,0.86527215045677,0.0022636083673628904,23
36,6.930336952209473,0.17645692825317383,1.1330426931381226,0.004086613655090332,entropy,100,2,"{'classifier__criterion': 'entropy', 'classifier__max_depth': 100, 'classifier__min_samples_split': 2}",0.8664747791910763,0.8675285302479069,0.8670016547194916,0.0005268755284152937,4
37,6.922268629074097,0.018961429595947266,1.1174505949020386,0.0010803937911987305,entropy,100,4,"{'classifier__criterion': 'entropy', 'classifier__max_depth': 100, 'classifier__min_samples_split': 4}",0.8657895069388386,0.8662820870553588,0.8660357969970987,0.0002462900582601013,16
38,6.919394850730896,0.02159702777862549,1.103843092918396,0.0009688138961791992,entropy,100,6,"{'classifier__criterion': 'entropy', 'classifier__max_depth': 100, 'classifier__min_samples_split': 6}",0.8655754839360112,0.8643794829327762,0.8649774834343937,0.0005980005016175127,30
39,6.880181431770325,0.009391427040100098,1.0728254318237305,0.016596555709838867,entropy,100,8,"{'classifier__criterion': 'entropy', 'classifier__max_depth': 100, 'classifier__min_samples_split': 8}",0.8641519141265239,0.8659034059806858,0.8650276600536049,0.0008757459270809509,29
